run,sample_idx,error
1,205,4.2
1,206,4.2
1,207,4.2
1,208,4.8
1,209,4.2
1,210,4.2
1,211,4.2
1,212,4.947726750741193
1,213,4.2
1,214,4.2
1,215,4.2
1,216,4.2
1,217,4.8
1,218,4.2
1,219,4.2
1,220,4.8
1,221,4.2
1,222,4.2
1,223,4.947726750741193
1,224,4.8
1,225,4.2
1,226,4.2
1,227,4.8
1,228,4.2
1,229,4.2
1,230,4.8
1,231,4.8
1,232,4.8
1,233,4.8
1,234,4.2
1,235,4.8
1,236,4.8
1,237,4.8
1,238,4.2
1,239,4.8
1,240,4.8
1,241,4.8
1,242,4.8
1,243,4.2
1,244,4.8
1,245,4.8
1,246,4.8
1,247,4.8
1,248,4.947726750741193
1,249,3.0
1,250,4.8
1,251,4.2
1,252,4.8
1,253,4.8
1,254,4.8
1,255,4.8
1,256,4.8
1,257,3.0
1,258,4.8
1,259,4.8
1,260,4.8
1,261,4.8
1,262,4.8
1,263,4.8
1,264,4.8
1,265,3.0
1,266,4.8
1,267,4.2
1,268,4.8
1,269,4.8
1,270,4.8
1,271,4.8
1,272,4.8
1,273,4.8
1,274,4.2
1,275,3.0
1,276,4.8
1,277,4.8
1,278,4.8
1,279,4.8
1,280,3.0
1,281,4.947726750741193
1,282,4.8
1,283,4.947726750741193
1,284,4.2
1,285,4.8
1,286,4.947726750741193
1,287,4.8
1,288,4.947726750741193
1,289,4.2
1,290,4.8
1,291,4.947726750741193
1,292,4.947726750741193
1,293,4.947726750741193
1,294,4.2
1,295,3.0
1,296,4.947726750741193
1,297,3.0
1,298,4.947726750741193
1,299,4.947726750741193
1,300,3.0
1,301,4.947726750741193
1,302,4.947726750741193
1,303,3.0
1,304,3.0
1,305,4.947726750741193
1,306,4.947726750741193
1,307,4.947726750741193
1,308,4.947726750741193
1,309,4.947726750741193
1,310,3.0
1,311,4.947726750741193
1,312,3.0
1,313,4.947726750741193
1,314,3.0
1,315,3.0
1,316,4.947726750741193
1,317,4.8
1,318,4.8
1,319,3.0
1,320,4.8
1,321,4.8
1,322,4.8
1,323,3.0
1,324,3.0
1,325,4.947726750741193
1,326,4.8
1,327,4.947726750741193
1,328,4.8
1,329,4.947726750741193
1,330,4.947726750741193
1,331,4.8
1,332,4.947726750741193
1,333,3.0
1,334,3.0
1,335,4.947726750741193
1,336,4.947726750741193
1,337,4.947726750741193
1,338,4.947726750741193
1,339,4.947726750741193
1,340,4.947726750741193
1,341,4.947726750741193
1,342,3.0
1,343,4.947726750741193
1,344,3.0
1,345,3.0
1,346,4.947726750741193
1,347,3.0
1,348,4.947726750741193
1,349,3.0
1,350,4.947726750741193
1,351,4.947726750741193
1,352,3.0
1,353,4.947726750741193
1,354,4.947726750741193
1,355,4.947726750741193
1,356,4.947726750741193
1,357,3.0
1,358,4.947726750741193
1,359,3.0
1,360,4.947726750741193
1,361,4.947726750741193
1,362,4.947726750741193
1,363,4.947726750741193
1,364,4.947726750741193
1,365,3.0
1,366,4.947726750741193
1,367,4.947726750741193
1,368,3.0
1,369,3.0
1,370,4.947726750741193
1,371,4.947726750741193
1,372,3.0
1,373,4.947726750741193
1,374,4.947726750741193
1,375,3.0
1,376,4.947726750741193
1,377,4.947726750741193
1,378,3.0
1,379,4.947726750741193
1,380,4.947726750741193
1,381,3.0
1,382,3.0
1,383,4.947726750741193
1,384,4.947726750741193
1,385,3.0
1,386,4.947726750741193
1,387,3.0
1,388,4.947726750741193
1,389,4.947726750741193
1,390,3.0
1,391,4.947726750741193
1,392,3.0
1,393,3.0
1,394,4.947726750741193
1,395,3.0
1,396,4.947726750741193
1,397,3.0
1,398,4.947726750741193
1,399,4.947726750741193
1,400,4.947726750741193
1,401,3.0
1,402,3.0
1,403,4.947726750741193
1,404,3.0
1,405,4.947726750741193
1,406,3.0
1,407,4.947726750741193
1,408,3.0
1,409,4.947726750741193
1,410,3.0
1,411,3.0
1,412,4.947726750741193
1,413,3.0
1,414,4.947726750741193
1,415,4.947726750741193
1,416,4.947726750741193
1,417,4.947726750741193
1,418,4.947726750741193
1,419,4.947726750741193
