timeStemp,AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,label_numeric,label_coor,coordinate
493452586,-61.0,-69.0,-62.0,-60.0,,,
493452818,-61.0,-70.0,-61.0,-60.0,,,
493451960,-61.0,,-63.0,-60.0,,,
493453569,-61.0,-70.0,-60.0,-60.0,,,
493451931,-61.0,-69.0,-62.0,-61.0,,,
493451961,,-69.0,,,,,
493451711,-61.0,-70.0,-64.0,-60.0,,,
493453977,-61.0,-69.0,-63.0,-60.0,,,
493454654,-62.0,-70.0,-62.0,-53.0,,,
493449488,-61.0,-70.0,-61.0,-60.0,,,
493450964,-61.0,-70.0,-65.0,-61.0,,,
493453714,-61.0,-70.0,-60.0,-59.0,,,
493454106,-53.0,-70.0,-62.0,-52.0,,,
493452918,-61.0,-69.0,-61.0,-53.0,,,
493454412,-62.0,-69.0,-61.0,-60.0,,,
493449818,-61.0,-70.0,-62.0,-59.0,,,
493450567,-61.0,-70.0,-62.0,-60.0,,,
493452557,-61.0,-69.0,-62.0,-60.0,,,
493453991,-61.0,-70.0,-63.0,-60.0,,,
493449067,-62.0,-70.0,-63.0,-60.0,,,
493455292,-62.0,-70.0,-62.0,-60.0,,,
493453467,,,,-60.0,,,
493451239,-54.0,-70.0,-63.0,-61.0,,,
493451124,-61.0,-70.0,-64.0,-61.0,,,
493451475,-61.0,-70.0,-63.0,-60.0,,,
493451577,-61.0,-70.0,-64.0,-55.0,,,
493449135,-61.0,-70.0,-63.0,-54.0,,,
493452513,-61.0,-68.0,-62.0,-55.0,,,
493450450,-61.0,-70.0,-61.0,-58.0,,,
493450129,-61.0,-70.0,-63.0,-54.0,,,
493449517,-61.0,-70.0,-62.0,-59.0,,,
493453033,-61.0,-69.0,-60.0,-60.0,,,
493451350,-61.0,-70.0,-61.0,-61.0,,,
493455074,-61.0,-70.0,-61.0,-60.0,,,
493452730,-61.0,-69.0,-63.0,-55.0,,,
493451781,-61.0,-69.0,-64.0,-61.0,,,
493454310,-61.0,-70.0,-61.0,-60.0,,,
493452421,-62.0,-69.0,-59.0,-59.0,,,
