timeStemp,AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,label,label_coor,coordinate
553291885,-59.0,-71.0,-50.0,-62.0,31.0,"(6.0, 0)",1-11
553294369,-59.0,-71.0,-54.0,-63.0,31.0,"(6.0, 0)",1-11
553291417,-60.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553290676,-60.0,-71.0,-52.0,,31.0,"(6.0, 0)",1-11
553290892,-59.0,-71.0,-54.0,-57.0,31.0,"(6.0, 0)",1-11
553292635,-59.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553292289,,-71.0,,,31.0,"(6.0, 0)",1-11
553293831,-60.0,-71.0,-50.0,-64.0,31.0,"(6.0, 0)",1-11
553293238,-60.0,-71.0,-53.0,-60.0,31.0,"(6.0, 0)",1-11
553291403,-60.0,-71.0,-52.0,-60.0,31.0,"(6.0, 0)",1-11
553294110,-60.0,-71.0,-52.0,-66.0,31.0,"(6.0, 0)",1-11
553294290,-59.0,-71.0,-52.0,-64.0,31.0,"(6.0, 0)",1-11
553294713,-60.0,-71.0,-51.0,-61.0,31.0,"(6.0, 0)",1-11
553296048,-59.0,-71.0,-54.0,-66.0,31.0,"(6.0, 0)",1-11
553295545,-59.0,-71.0,-54.0,-62.0,31.0,"(6.0, 0)",1-11
553294025,-59.0,-71.0,-54.0,-65.0,31.0,"(6.0, 0)",1-11
553292337,-59.0,-71.0,-50.0,-64.0,31.0,"(6.0, 0)",1-11
553292670,-59.0,-71.0,-52.0,-64.0,31.0,"(6.0, 0)",1-11
553295371,-59.0,-71.0,-54.0,-61.0,31.0,"(6.0, 0)",1-11
553291700,-60.0,-71.0,-54.0,-59.0,31.0,"(6.0, 0)",1-11
553295854,-59.0,-71.0,-53.0,-67.0,31.0,"(6.0, 0)",1-11
553293895,-55.0,-71.0,-51.0,-60.0,31.0,"(6.0, 0)",1-11
553295871,-59.0,-71.0,-53.0,-62.0,31.0,"(6.0, 0)",1-11
553294745,-52.0,-71.0,-52.0,-65.0,31.0,"(6.0, 0)",1-11
553294606,-60.0,-71.0,-54.0,-63.0,31.0,"(6.0, 0)",1-11
553295323,-59.0,-71.0,-53.0,-65.0,31.0,"(6.0, 0)",1-11
553293254,-60.0,-71.0,-54.0,-59.0,31.0,"(6.0, 0)",1-11
553293877,-60.0,,-53.0,-63.0,31.0,"(6.0, 0)",1-11
553295003,-59.0,-71.0,-51.0,-60.0,31.0,"(6.0, 0)",1-11
553293976,-59.0,-71.0,-52.0,-64.0,31.0,"(6.0, 0)",1-11
