timeStemp,AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,label_numeric,label_coor,coordinate
604730089,-61.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604730794,-61.0,-72.0,-63.0,-48.0,1-1,"(0, 0)","(0, 0)"
604733499,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604735229,-62.0,-72.0,-64.0,-44.0,1-1,"(0, 0)","(0, 0)"
604729654,-62.0,-72.0,,,1-1,"(0, 0)","(0, 0)"
604733292,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604731329,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604729628,-62.0,-72.0,-64.0,-45.0,1-1,"(0, 0)","(0, 0)"
604729378,,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604735271,-62.0,-72.0,-61.0,-47.0,1-1,"(0, 0)","(0, 0)"
604730765,-57.0,-72.0,-59.0,-40.0,1-1,"(0, 0)","(0, 0)"
604732792,-62.0,-64.0,-64.0,-41.0,1-1,"(0, 0)","(0, 0)"
604735426,-62.0,-72.0,-64.0,-45.0,1-1,"(0, 0)","(0, 0)"
604730907,-62.0,-72.0,-64.0,-43.0,1-1,"(0, 0)","(0, 0)"
604730852,-62.0,-72.0,-63.0,-48.0,1-1,"(0, 0)","(0, 0)"
604735131,-62.0,-72.0,-62.0,-48.0,1-1,"(0, 0)","(0, 0)"
604734737,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604733926,-62.0,-72.0,-64.0,-44.0,1-1,"(0, 0)","(0, 0)"
604734193,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604735257,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604735285,-62.0,-72.0,-61.0,-45.0,1-1,"(0, 0)","(0, 0)"
